date,place,position
16.02.2018,Pyeongchang,1
10.01.2017,Flachau,1
29.12.2015,Lienz,1
13.01.2015,Flachau,1
28.01.2018,Lenzerheide,2
07.01.2018,Kranjska Gora,2
15.11.2017,Levi,2
15.01.2016,Flachau,2
13.12.2015,Are,2
29.11.2015,Aspen,2
21.03.2015,Meribel,2
14.02.2015,Beaver Creek,2
30.11.2014,Aspen,2
22.12.2018,Courchevel,3
25.11.2018,Killington,3
17.03.2018,Are,3
10.03.2018,Ofterschwang,3
09.01.2018,Flachau,3
03.01.2018,Zagreb,3
28.12.2017,Lienz,3
18.03.2017,Aspen,3
18.02.2017,St. Moritz,3
08.01.2017,Maribor,3
19.03.2016,St. Moritz,3
12.01.2016,Flachau,3
28.11.2015,Aspen,3
13.12.2014,Are,3
02.02.2019,Maribor,4
05.01.2019,Zagreb,4
17.11.2018,Levi,4
11.11.2017,Levi,4
03.01.2017,Zagreb,4
11.12.2016,Sestriere,4
04.01.2015,Zagreb,4
29.12.2014,KÃ¼htai,4
16.03.2019,Soldeu,5
16.02.2019,Are,5
08.01.2019,Flachau,5
26.11.2017,Killington,5
05.01.2016,Santa Caterina,5
15.02.2016,Crans Montana,6
14.03.2015,Are,6
09.03.2019,Spindleruv Mlyn,7
29.12.2016,Semmering,7
22.02.2015,Maribor,9
27.11.2016,Killington,10
06.03.2016,Jasna,10
29.12.2018,Semmering,DNF2
11.03.2017,Squaw Valley,DNQ2
12.11.2016,Levi,DNF2